compound_id,public_id,name
972,FDB000972,9-Pentadecenoic acid
974,FDB000974,Saringosterol 3-glucoside
975,FDB000975,Isofucosterol glucoside
976,FDB000976,Isoeruboside B
979,FDB000979,"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-glucoside"
980,FDB000980,"6e,9e-Dihydroxy-4,7E-megastigmadien-3-one 9-[apiosyl-(1->6)-glucoside]"
984,FDB000984,Cymorcin monoglucoside
986,FDB000986,2-O-Protocatechuoylalphitolic acid
987,FDB000987,2alpha-Hydroxypyracrenic acid
989,FDB000989,6-Epi-7-isocucurbic acid glucoside
990,FDB000990,Mono-trans-p-coumaroylmesotartaric acid
991,FDB000991,Unshuoside A
992,FDB000992,Protoisoeruboside B
1000,FDB001000,Dieporeticanin
1003,FDB001003,Montecristin
1004,FDB001004,(Z)-13-Oxo-9-octadecenoic acid
1005,FDB001005,(Z)-15-Oxo-11-eicosenoic acid
1006,FDB001006,Diisodityrosine
1007,FDB001007,(E)-2-Tetracosenoic acid
1008,FDB001008,Mangiferic acid
1009,FDB001009,8-Dotriacontenoic acid
1011,FDB001011,Pentasine
1012,FDB001012,Momordol
1014,FDB001014,Nicotinic acid
1015,FDB001015,Methyl nicotinate
1016,FDB001016,Ethyl nicotinate
1018,FDB001018,Etidronic acid
1022,FDB001022,Ethyl hexadecanoate
1026,FDB001026,Doristerol
1028,FDB001028,Ethyl salicylate
1029,FDB001029,Benzyl salicylate
1030,FDB001030,2-Phenylethyl beta-D-glucopyranoside
1031,FDB001031,"2,6-Diisopropyl-3-methylphenol"
1032,FDB001032,"2,5-Diisopropyl-4-methylphenol"
1033,FDB001033,"2,5-Diisopropyl-3-methylphenol"
1034,FDB001034,"2,4-Diisopropyl-5-methylphenol"
1036,FDB001036,"2,3-Diisopropyl-5-methylphenol"
1037,FDB001037,4-Aminobenzoic acid
1044,FDB001044,L-Malic acid
1046,FDB001046,Ractopamine hydrochloride
1053,FDB001053,Harmalol
1054,FDB001054,Ascorbigen
1055,FDB001055,Vulgaxanthin I
1056,FDB001056,Vulgaxanthin II
1057,FDB001057,Betalamic acid
1060,FDB001060,Glycyrrhizin
1061,FDB001061,Glyciram
1062,FDB001062,Cellulase
1066,FDB001066,Nonivamide
1067,FDB001067,"7,7',8,8'-Tetrahydro-beta,beta-carotene"
1068,FDB001068,(-)-trans-Carveol glucoside
1069,FDB001069,(+)-trans-Carveol glucoside
1070,FDB001070,D-Citronellol glucoside
1072,FDB001072,27-Deoxy-5alpha-cyprinol
1073,FDB001073,Methylgingerol
1074,FDB001074,"1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene"
1075,FDB001075,"1,2-Epoxy-1,2,7,7',8,8',11',12'-octahydro-psi,psi-carotene"
1076,FDB001076,Cochineal Red A
1077,FDB001077,(R)-alpha-Terpinyl glucoside
1079,FDB001079,Cryptochrome
1081,FDB001081,Methyl (xi)-3-nonenoate
1083,FDB001083,Bromelains
1084,FDB001084,Pancreatin
1087,FDB001087,Palmidrol
1088,FDB001088,(E)-2-Octenoic acid
1089,FDB001089,(S)-N-Acetylmethionine
1092,FDB001092,"(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol"
1093,FDB001093,"2-Amino-3,8-dimethyl-3H-imidazo[4,5-f]quinoxaline"
1094,FDB001094,Umbelliferone
1096,FDB001096,Isoelemicin
1097,FDB001097,Mangostanol
1100,FDB001100,Sanguiin H4
1104,FDB001104,Tigloidine
1105,FDB001105,Paucine
1106,FDB001106,Pancrelipase
1108,FDB001108,(S)-[6]-Gingerol
1109,FDB001109,D-Tagatose
1110,FDB001110,D-Tartaric acid
1111,FDB001111,Chinese tannin
1112,FDB001112,Tartaric acid
1113,FDB001113,L-Tartaric acid
1114,FDB001114,"alpha,alpha-Trehalose"
1115,FDB001115,Neotrehalose
1116,FDB001116,D-Glucaric acid
1117,FDB001117,Sakebiose
1118,FDB001118,Sambubiose
1119,FDB001119,"2-C-Methyl-1,4-erythrono-D-lactone"
1120,FDB001120,Sorbitan laurate
1121,FDB001121,Sorbitan oleate
1122,FDB001122,Sorbitan palmitate
1123,FDB001123,Sorbitan stearate
1124,FDB001124,Sorbitan trioleate
1125,FDB001125,Sorbitan tristearate
1126,FDB001126,L-Sorbose
1127,FDB001127,Starch acetate
1128,FDB001128,Starch
1129,FDB001129,Asiaticoside B
1130,FDB001130,Amylose
1131,FDB001131,Sucrose
1132,FDB001132,Sucrose octaacetate
1133,FDB001133,Xylan
1134,FDB001134,Xylitol
1135,FDB001135,Xylobiose
1136,FDB001136,D-Xylose
1138,FDB001138,Chiro-Inositol
1139,FDB001139,Cryptoxanthin diepoxide
1141,FDB001141,Inulin
1143,FDB001143,Kojibiose
1144,FDB001144,Calcium lactobionate
1145,FDB001145,Lactose
1146,FDB001146,Lucuminoside
1147,FDB001147,Galactinol
1148,FDB001148,L-Galacto-2-heptulose
1150,FDB001150,Galabiose
